,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,reply_to_count,replying_count
16018516,jenhab,"Haberkorn, Jennifer A.",Politico,Senior Health Reporter,F,20028,1484,10380,Wed Aug 27 22:14:32 +0000 2008,True,False,208.0,85.0,63.0,296.0,652.0,25,13
46955476,GrahamDavidA,"Graham, David A.",The Atlantic,Staff Writer,M,22112,2060,93391,Sat Jun 13 20:18:33 +0000 2009,True,False,321.0,210.0,908.0,127.0,1566.0,25,9
52282776,leonardkl,"Leonard, Kimberly L.",U.S. News & World Report,Senior Healthcare Writer,F,7901,5443,19222,Tue Jun 30 03:03:08 +0000 2009,True,False,473.0,66.0,227.0,398.0,1164.0,25,8
9126752,reporterjoe,"Gould, Joseph M.",Sightline Media Group,"Congress Reporter, Defense News",M,4702,3386,9148,Thu Sep 27 15:51:38 +0000 2007,True,False,314.0,229.0,272.0,375.0,1190.0,25,8
19038768,DefenseBaron,"Baron, Kevin",Defense One,Executive Editor,M,32799,4581,56272,Thu Jan 15 20:59:03 +0000 2009,True,False,479.0,622.0,249.0,464.0,1814.0,25,6
997684836,pkcapitol,"Kane, Paul",Washington Post,Congressional Reporter,M,31300,279,22456,Sat Dec 08 18:16:23 +0000 2012,True,False,195.0,140.0,185.0,267.0,787.0,24,16
14560097,vplus,"Sterling, Vaughn",CNN,Supervising Producer,M,18748,4559,45721,Sun Apr 27 18:00:55 +0000 2008,True,False,227.0,150.0,569.0,967.0,1913.0,24,15
19576571,JaredRizzi,"Rizzi, Jared",Sirius XM Satellite Radio,"White House Correspondent, SXMPOTUS",M,13545,6175,41620,Tue Jan 27 04:09:53 +0000 2009,True,False,678.0,828.0,1949.0,2112.0,5567.0,24,11
163589845,PoliticoKevin,"Robillard, Kevin P.",Politico,"Campaign Reporter, Senate & Governors",M,12161,1826,35213,Tue Jul 06 20:17:45 +0000 2010,True,False,287.0,151.0,171.0,513.0,1122.0,24,9
93876666,JessicaTaylor,"Taylor, Jessica",National Public Radio,Political Reporter,F,25941,4498,36547,Tue Dec 01 15:09:09 +0000 2009,True,False,236.0,209.0,98.0,331.0,874.0,24,7
26632935,HopeSeck,"Hodge Seck, Hope",Military.com,Marine Corps & Navy Reporter,F,4584,2389,15814,Wed Mar 25 23:55:59 +0000 2009,True,False,193.0,112.0,152.0,365.0,822.0,24,6
167511780,lindsemcpherson,"McPherson, Lindsey",CQ Roll Call,House Leadership Reporter,F,2404,1608,5026,Fri Jul 16 19:45:21 +0000 2010,True,False,108.0,40.0,27.0,46.0,221.0,24,6
239857777,Indira_L,"Lakashmanan, Indira",Boston Globe,Washington Columnist,F,19203,4163,37406,Tue Jan 18 15:57:48 +0000 2011,True,False,142.0,258.0,173.0,944.0,1517.0,24,3
37721714,bykowicz,"Bykowicz, Julie",Associated Press,White House Reporter,F,12326,1006,14004,Mon May 04 18:33:35 +0000 2009,True,False,83.0,165.0,55.0,362.0,665.0,24,3
1692401,kerning,"Perks, Ashley J.",The Hill,Design Director,F,652,451,16074,Wed Mar 21 00:27:21 +0000 2007,False,False,74.0,22.0,94.0,54.0,244.0,24,1
14659350,peteschroeder,"Schroeder, Peter C.",Thomson Reuters,Financial Regulations Reporter,M,4026,1851,17497,Mon May 05 13:32:16 +0000 2008,True,False,357.0,269.0,148.0,109.0,883.0,23,8
18992437,misswilson,"Wilson, Megan R.",The Hill,Lobbying & Advocacy Reporter,F,2168,1266,8968,Wed Jan 14 20:01:27 +0000 2009,False,False,58.0,88.0,162.0,127.0,435.0,23,5
353866329,mVespa1,"Vespa, Matt",Townhall,Associate Editor,M,7012,3000,75424,Fri Aug 12 19:20:14 +0000 2011,True,False,428.0,292.0,41.0,1683.0,2444.0,23,4
4607,nancyscola,"Scola, Nancy",Politico,Tech & Politics Reporter,F,10069,1572,16387,Tue Aug 22 21:19:43 +0000 2006,True,False,133.0,68.0,47.0,178.0,426.0,23,2
15704971,sarahdwire,"Wire, Sarah",Los Angeles Times,Congressional Reporter,F,5473,1186,17584,Sat Aug 02 21:31:33 +0000 2008,True,False,335.0,50.0,39.0,252.0,676.0,23,2
185349940,imolinarescnn,"Molinares-Hess, Ione Indira",CNN,"Washington Correspondent, CNN en Español",F,45943,403,5434,Tue Aug 31 19:47:50 +0000 2010,True,False,28.0,0.0,30.0,13.0,71.0,23,1
15756288,lauraolson,"Olson, Laura",Allentown Morning Call,DC Correspondent,F,5249,2134,10569,Wed Aug 06 22:42:26 +0000 2008,True,False,100.0,47.0,32.0,102.0,281.0,23,1
14007532,frankthorp,"Thorp, Frank",NBC News,Producer / Off-air Reporter,M,39798,1539,23859,Tue Feb 26 15:31:46 +0000 2008,True,False,393.0,150.0,320.0,58.0,921.0,22,15
78694788,heatherscope,"Caygle, Heather Nicole",Politico,Reporter,F,5777,1594,12045,Wed Sep 30 20:02:16 +0000 2009,True,False,71.0,199.0,104.0,291.0,665.0,22,14
250492272,igorbobic,"Bobic, Igor",Huffington Post,Associate Politics Editor,M,23855,999,74019,Fri Feb 11 05:44:35 +0000 2011,True,False,593.0,344.0,288.0,582.0,1807.0,22,11
151444950,DaviSusan,"Davis, Susan",National Public Radio,Congressional Reporter,F,27297,3344,7325,Thu Jun 03 12:33:41 +0000 2010,True,False,90.0,104.0,165.0,179.0,538.0,22,10
16547587,LeoShane,"Shane III, Leo",Sightline Media Group,"Congressional Reporter, Military Times",M,15464,423,30408,Wed Oct 01 18:19:22 +0000 2008,True,False,303.0,66.0,311.0,141.0,821.0,22,6
27756540,jordainc,"Carney, Jordain R.",The Hill,Senate Reporter,F,1931,1050,7719,Mon Mar 30 23:11:55 +0000 2009,False,False,237.0,68.0,36.0,48.0,389.0,22,4
824116194,EvieBlad,"Blad, Evie",Education Week,Reporter,F,3012,1549,9868,Fri Sep 14 22:40:30 +0000 2012,False,False,58.0,44.0,161.0,252.0,515.0,22,3
550762459,sfpathe,"Pathe, Simone F.",CQ Roll Call,Senior Political Reporter,F,2972,2683,5607,Wed Apr 11 06:46:22 +0000 2012,True,False,126.0,29.0,31.0,116.0,302.0,22,3
19107878,GlennThrush,"Thrush, Glenn H.",New York Times,White House Correspondent,M,308181,3754,31419,Sat Jan 17 11:34:09 +0000 2009,True,False,558.0,386.0,9.0,154.0,1107.0,21,17
33653195,ericawerner,"Werner, Erica",Associated Press,Congressional Correspondent,F,14049,644,4274,Mon Apr 20 20:36:14 +0000 2009,True,False,319.0,53.0,45.0,45.0,462.0,21,12
227790723,RichardRubinDC,"Rubin, Richard",Bloomberg News,Tax Policy Reporter,M,13015,493,17796,Fri Dec 17 20:38:28 +0000 2010,True,False,318.0,90.0,807.0,97.0,1312.0,21,8
42703163,SarahKarlin,"Karlin, Sarah",Politico,"Pharma, Politics, & Policy Reporter",F,6953,2010,13873,Tue May 26 19:50:18 +0000 2009,True,False,178.0,123.0,203.0,433.0,937.0,21,7
12354832,kasie,"Hunt, Kasie",NBC News,Correspondent,F,187357,1939,24571,Thu Jan 17 11:28:36 +0000 2008,True,False,162.0,175.0,38.0,287.0,662.0,20,13
16149614,jrovner,"Rovner, Julie",Kaiser Health News,Chief Washington Correspondent,F,21844,1608,14541,Fri Sep 05 21:12:34 +0000 2008,True,False,181.0,479.0,381.0,747.0,1788.0,20,12
420832039,StephenLosey,"Losey, Stephen",Sightline Media Group,"Senior Writer, Air Force Times",M,2366,757,8241,Fri Nov 25 04:47:36 +0000 2011,True,False,75.0,72.0,180.0,117.0,444.0,20,4
250912539,cimarcos,"Marcos, Cristina",The Hill,House Reporter,F,7099,1736,11647,Sat Feb 12 02:08:04 +0000 2011,True,False,239.0,35.0,23.0,185.0,482.0,20,3
264025526,elizacollins1,"Collins, Eliza S.",USA Today,Congressional Reporter,F,6695,3241,7772,Fri Mar 11 05:35:11 +0000 2011,True,False,381.0,199.0,58.0,361.0,999.0,20,3
15051061,anobleDC,"Noble, Andrea",Washington Times,Law Enforcement & Crime Reporter,F,2482,998,9033,Sun Jun 08 22:58:31 +0000 2008,False,False,161.0,35.0,32.0,51.0,279.0,20,1
140286364,nielslesniewski,"Lesniewski, Niels P.",CQ Roll Call,Senior Senate Reporter,M,24670,2420,70213,Wed May 05 03:22:19 +0000 2010,False,False,559.0,300.0,94.0,457.0,1410.0,19,14
23911915,joshledermanAP,"Lederman, Josh",Associated Press,Foreign Policy & National Security Reporter,M,23760,2791,28782,Thu Mar 12 06:26:39 +0000 2009,True,False,460.0,46.0,61.0,141.0,708.0,19,11
150686538,jeremyherb,"Herb, Jeremy",CNN,National Security Reporter,M,8685,2230,12120,Tue Jun 01 15:19:58 +0000 2010,True,False,348.0,133.0,120.0,171.0,772.0,19,11
57124794,annaedney,"Edney, Anna",Bloomberg News,Health Reporter,F,5323,646,3080,Wed Jul 15 20:19:26 +0000 2009,True,False,95.0,9.0,47.0,172.0,323.0,19,2
25112718,SerenaMarsh,"Marshall, Serena",ABC News,Multi-Platform Reporter,F,4461,1468,16089,Wed Mar 18 17:31:02 +0000 2009,True,False,175.0,171.0,32.0,525.0,903.0,19,1
55896443,lbarronlopez,"Barron-Lopez, Laura",Huffington Post,Congress Reporter,F,6739,2301,12572,Sat Jul 11 18:40:26 +0000 2009,True,False,66.0,42.0,56.0,103.0,267.0,18,5
209787354,RosJordanAJE,"Jordan, Rosiland",Aljazeera English,UN Correspondent,F,8073,6811,33322,Fri Oct 29 22:53:59 +0000 2010,True,False,147.0,138.0,224.0,792.0,1301.0,18,4
307982591,JaxAlemany,"Alemany, Jacqueline",CBS News,White House Reporter,F,12000,1890,7300,Mon May 30 16:43:13 +0000 2011,True,False,153.0,77.0,18.0,376.0,624.0,18,2
346197350,justinsink,"Sink, Justin",Bloomberg News,White House Correspondent,M,13368,1213,14074,Sun Jul 31 21:58:33 +0000 2011,True,False,228.0,87.0,77.0,117.0,509.0,17,12
