,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
188857501,alexis_levinson,"Levinson, Alexis R.",BuzzFeed,Reporter,F,25375,1859,21249,Thu Sep 09 19:19:59 +0000 2010,True,False,242.0,56.0,82.0,272.0,652.0,29,11
26520417,nancook,"Cook, Nancy M.",Politico,Senior Reporter,F,5219,1627,5502,Wed Mar 25 15:36:00 +0000 2009,False,False,55.0,20.0,19.0,167.0,261.0,28,16
80111587,JeffYoung,"Young, Jeffrey",Huffington Post,Senior Reporter,M,26497,769,30892,Mon Oct 05 19:59:42 +0000 2009,True,False,245.0,349.0,426.0,776.0,1796.0,28,15
168674628,SangerNYT,"Sanger, David",New York Times,National Security Correspondent,M,50806,1000,2254,Tue Jul 20 14:15:12 +0000 2010,False,False,33.0,49.0,3.0,89.0,174.0,28,11
37965812,AnnieLinskey,"Linskey, Annie",Boston Globe,Chief National Correspondent,F,13401,1726,13385,Tue May 05 17:00:30 +0000 2009,True,False,222.0,89.0,25.0,224.0,560.0,28,11
19914257,mviser,"Viser, Matthew",Boston Globe,Deputy Washington Bureau Chief,M,57700,1805,25358,Mon Feb 02 16:20:23 +0000 2009,True,False,511.0,78.0,19.0,186.0,794.0,28,7
305649821,BlakeSobczak,"Sobczak, Blake H.",E&E News,Cybersecurity Reporter,M,2078,1070,11194,Thu May 26 15:32:57 +0000 2011,False,False,140.0,43.0,119.0,187.0,489.0,28,7
227790723,RichardRubinDC,"Rubin, Richard",Bloomberg News,Tax Policy Reporter,M,13015,493,17796,Fri Dec 17 20:38:28 +0000 2010,True,False,318.0,90.0,807.0,97.0,1312.0,27,21
21010214,BillHemmer,"Hemmer, Bill",Fox News,"Anchor, America's Newsroom",M,292289,419,8760,Mon Feb 16 18:22:41 +0000 2009,True,False,115.0,13.0,0.0,110.0,238.0,27,11
142896252,jendlouhyhc,"Dlouhy, Jennifer",Hearst Newspapers,Energy & Environment Reporter,F,17714,2955,9605,Wed May 12 01:33:15 +0000 2010,True,False,67.0,15.0,18.0,0.0,100.0,26,15
474974313,bridgetbhc,"Bowman, Bridget M.",CQ Roll Call,Senior Reporter,F,4188,1362,7432,Thu Jan 26 15:05:55 +0000 2012,False,False,194.0,44.0,23.0,91.0,352.0,26,13
569244581,NoamLevey,"Levey, Noam",Los Angeles Times,National Healthcare Reporter,M,8207,950,3987,Wed May 02 16:47:19 +0000 2012,True,False,71.0,73.0,4.0,400.0,548.0,26,8
33653195,ericawerner,"Werner, Erica",Associated Press,Congressional Correspondent,F,14049,644,4274,Mon Apr 20 20:36:14 +0000 2009,True,False,319.0,53.0,45.0,45.0,462.0,25,18
47991586,GarrettHaake,"Haake, Garrett",MSNBC,Correspondent,M,22880,1793,22051,Wed Jun 17 15:14:33 +0000 2009,True,False,263.0,273.0,233.0,145.0,914.0,25,16
26668729,John_Hudson,"Hudson, John",Foreign Policy,"Senior Reporter, Diplomacy & National Security",M,16373,2439,14065,Thu Mar 26 02:39:24 +0000 2009,True,False,257.0,81.0,208.0,181.0,727.0,25,15
15993122,dsamuelsohn,"Samuelsohn, Darren Sean",Politico,Senior White House Reporter,M,9759,8563,4286,Tue Aug 26 05:54:38 +0000 2008,True,False,158.0,0.0,3.0,15.0,176.0,25,15
250492272,igorbobic,"Bobic, Igor",Huffington Post,Associate Politics Editor,M,23855,999,74019,Fri Feb 11 05:44:35 +0000 2011,True,False,593.0,344.0,288.0,582.0,1807.0,25,10
190360266,connorobrienNH,"O’Brien, Connor",Politico,Defense Reporter,M,6158,1995,17242,Mon Sep 13 19:16:14 +0000 2010,True,False,954.0,255.0,258.0,477.0,1944.0,25,10
52573702,awzurcher,"Zurcher, Anthony",BBC,Senior North America Reporter,M,14049,1582,13866,Wed Jul 01 00:26:01 +0000 2009,True,False,230.0,566.0,287.0,150.0,1233.0,25,6
