,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
569244581,NoamLevey,"Levey, Noam",Los Angeles Times,National Healthcare Reporter,M,8207,950,3987,Wed May 02 16:47:19 +0000 2012,True,False,71.0,73.0,4.0,400.0,548.0,12,3
57124794,annaedney,"Edney, Anna",Bloomberg News,Health Reporter,F,5323,646,3080,Wed Jul 15 20:19:26 +0000 2009,True,False,95.0,9.0,47.0,172.0,323.0,12,2
2999641283,alexis_s_kramer,"Kramer, Alexis S.",Bloomberg BNA,"Legal Editor, Electronic Commerce & Law Report",F,276,498,276,Mon Jan 26 13:40:34 +0000 2015,True,False,19.0,0.0,0.0,8.0,27.0,12,2
33653195,ericawerner,"Werner, Erica",Associated Press,Congressional Correspondent,F,14049,644,4274,Mon Apr 20 20:36:14 +0000 2009,True,False,319.0,53.0,45.0,45.0,462.0,11,9
103087786,deirdrewalshcnn,"Walsh, Deirdre",CNN,Senior Congressional Reporter & Producer,F,15069,1793,11995,Fri Jan 08 21:17:01 +0000 2010,True,False,243.0,52.0,3.0,104.0,402.0,11,8
373551099,KevinBogardus,"Bogardus, Kevin J.",E&E News,Agencies Reporter,M,2709,2297,12178,Wed Sep 14 19:46:11 +0000 2011,False,False,60.0,32.0,67.0,554.0,713.0,11,8
30927826,LFFriedman,"Friedman, Lisa F.",E&E News,"Editor, Climatewire",F,15577,1329,19177,Mon Apr 13 18:48:58 +0000 2009,False,False,135.0,35.0,267.0,119.0,556.0,11,7
26520417,nancook,"Cook, Nancy M.",Politico,Senior Reporter,F,5219,1627,5502,Wed Mar 25 15:36:00 +0000 2009,False,False,55.0,20.0,19.0,167.0,261.0,11,7
80111587,JeffYoung,"Young, Jeffrey",Huffington Post,Senior Reporter,M,26497,769,30892,Mon Oct 05 19:59:42 +0000 2009,True,False,245.0,349.0,426.0,776.0,1796.0,11,6
346197350,justinsink,"Sink, Justin",Bloomberg News,White House Correspondent,M,13368,1213,14074,Sun Jul 31 21:58:33 +0000 2011,True,False,228.0,87.0,77.0,117.0,509.0,11,6
21534951,adamgoldmanNYT,"Goldman, Adam",New York Times,FBI & National Security Reporter,M,71083,347,21333,Sun Feb 22 01:33:40 +0000 2009,True,False,384.0,73.0,130.0,186.0,773.0,11,5
183351903,maryagnescarey,"Carey, Mary Agnes",Kaiser Health News,Partnerships Editor & Senior Correspondent,F,9046,643,9818,Thu Aug 26 20:01:59 +0000 2010,False,False,171.0,32.0,9.0,364.0,576.0,11,5
48388417,nathanlgonzales,"Gonzales, Nathan",InsidePolitics,Editor & Publisher,M,8220,420,10420,Thu Jun 18 15:44:34 +0000 2009,False,False,34.0,100.0,21.0,161.0,316.0,11,5
243470492,AndreaMcCarren,"McCarren, Andrea",WUSA–TV,Multimedia Journalist / Reporter,F,11420,3720,20714,Thu Jan 27 03:27:17 +0000 2011,True,False,148.0,7.0,158.0,462.0,775.0,11,4
49620730,AliABCNews,"Rogin, Ali",ABC News,Digital Reporter,F,21140,5071,12830,Mon Jun 22 13:01:32 +0000 2009,True,False,259.0,85.0,70.0,131.0,545.0,11,3
