,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
160561302,KyleTrygstad,"Trygstad, Kyle",The Hotline,Editor,M,7104,1110,8379,Mon Jun 28 14:30:11 +0000 2010,True,False,34.0,26.0,5.0,30.0,95.0,25,6
52573702,awzurcher,"Zurcher, Anthony",BBC,Senior North America Reporter,M,14049,1582,13866,Wed Jul 01 00:26:01 +0000 2009,True,False,230.0,566.0,287.0,150.0,1233.0,25,6
17466186,tomlobianco,"Lobianco, Thomas",CNN,Politics Reporter,M,14761,7958,18000,Tue Nov 18 15:50:13 +0000 2008,True,False,370.0,26.0,147.0,320.0,863.0,24,17
327862439,jonathanvswan,"Swan, Jonathan",Axios,National Political Reporter,M,55864,4239,22965,Sat Jul 02 08:39:41 +0000 2011,True,False,276.0,288.0,133.0,1090.0,1787.0,24,17
14007532,frankthorp,"Thorp, Frank",NBC News,Producer / Off-air Reporter,M,39798,1539,23859,Tue Feb 26 15:31:46 +0000 2008,True,False,393.0,150.0,320.0,58.0,921.0,24,15
16187637,ChadPergram,"Pergram, Chad",Fox News,congressional reporter for fox news,M,59305,15686,61461,Mon Sep 08 17:25:20 +0000 2008,True,False,2693.0,0.0,0.0,0.0,2693.0,24,13
163589845,PoliticoKevin,"Robillard, Kevin P.",Politico,"Campaign Reporter, Senate & Governors",M,12161,1826,35213,Tue Jul 06 20:17:45 +0000 2010,True,False,287.0,151.0,171.0,513.0,1122.0,24,13
177944746,geofkoss,"Koss, Geof",E&E News,Congressional Reporter,M,972,1046,6771,Fri Aug 13 13:28:15 +0000 2010,False,False,52.0,48.0,3.0,223.0,326.0,24,12
45604374,HouseInSession,"House, Billy",Bloomberg News,Congressional Correspondent,M,7026,671,4921,Mon Jun 08 16:30:40 +0000 2009,False,False,229.0,92.0,7.0,20.0,348.0,24,10
267210696,PeteBehrEENews,"Behr, Peter B.",E&E News,Cyber Threats & Grid Reporter,M,624,175,26,Wed Mar 16 14:28:09 +0000 2011,False,False,3.0,0.0,0.0,0.0,3.0,24,5
46176168,MajorCBS,"Garrett, Major",CBS News,Chief White House Correspondent,M,178640,2456,23241,Wed Jun 10 17:50:33 +0000 2009,True,False,252.0,89.0,0.0,199.0,540.0,23,19
11771512,OKnox,"Knox, Olivier",Yahoo News,Chief Washington Correspondent,M,44715,2339,95036,Wed Jan 02 20:58:16 +0000 2008,True,False,334.0,547.0,643.0,424.0,1948.0,23,17
90077282,politicoalex,"Isenstadt, Alex",Politico,Reporter,M,28130,2738,4723,Sun Nov 15 02:40:45 +0000 2009,True,False,177.0,27.0,5.0,17.0,226.0,23,17
21316253,ZekeJMiller,"Miller, Zeke J.",Time Magazine,White House Correspondent,M,198517,5430,161148,Thu Feb 19 17:01:16 +0000 2009,True,False,1271.0,258.0,30.0,547.0,2106.0,23,15
204823934,benjaminpenn,"Penn, Benjamin Surace",Bloomberg BNA,Reporter,M,1870,2074,2718,Tue Oct 19 15:03:33 +0000 2010,True,False,77.0,38.0,7.0,128.0,250.0,23,9
95297779,Noahbierman,"Bierman, Noah",Los Angeles Times,White House Reporter,M,6454,1434,8725,Mon Dec 07 22:55:49 +0000 2009,True,False,123.0,35.0,7.0,124.0,289.0,23,7
30970039,DevlinBarrett,"Barrett, Devlin",Wall Street Journal / Dow Jones,National Security Reporter,M,16763,1089,7040,Mon Apr 13 21:51:57 +0000 2009,True,False,82.0,75.0,48.0,133.0,338.0,22,15
37895887,gordonnyt,"Gordon, Michael",New York Times,National Security Reporter,M,8868,848,716,Tue May 05 10:14:28 +0000 2009,False,False,29.0,1.0,0.0,23.0,53.0,22,11
29607664,adamliptak,"Liptak, Adam",New York Times,Supreme Court Reporter,M,47151,367,3678,Wed Apr 08 01:47:31 +0000 2009,True,False,57.0,7.0,8.0,28.0,100.0,22,7
353866329,mVespa1,"Vespa, Matt",Townhall,Associate Editor,M,7012,3000,75424,Fri Aug 12 19:20:14 +0000 2011,True,False,428.0,292.0,41.0,1683.0,2444.0,22,4
