Attribute,Measure,Group,Min,Mean,Max,Stddev,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Et,2.989e-07,0.020,1,0.076,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Fr,1.965e-07,0.012,1,0.048,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Es,8.210e-08,0.011,1,0.048,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Tl,2.989e-07,0.015,1,0.061,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Nl,2.159e-07,0.020,1,0.084,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Tr,1.994e-06,0.025,1,0.106,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Hu,1.150e-06,0.021,0.144,0.035,
LANGUAGE_SENDER,twitter-actualInfluencer-1,It,2.159e-07,0.019,1,0.081,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Da,2.989e-07,0.017,1,0.075,
LANGUAGE_SENDER,twitter-actualInfluencer-1,In,1.236e-07,0.015,1,0.061,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Sv,6.642e-07,0.022,1,0.090,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Pt,2.989e-07,0.018,1,0.075,
LANGUAGE_SENDER,twitter-actualInfluencer-1,De,2.574e-07,0.018,1,0.065,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Fi,1.589e-06,0.021,0.312,0.052,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Cy,3.339e-07,0.028,1,0.095,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Is,7.517e-05,0.084,1,0.226,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Eu,4.852e-07,0.031,1,0.119,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Lv,1.323e-05,0.013,0.060,0.019,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Hi,5.055e-07,0.014,0.152,0.031,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Ko,1.236e-07,0.010,0.046,0.018,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Ru,1.753e-07,0.061,1,0.203,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Lt,1.589e-06,0.033,1,0.127,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Ar,6.642e-07,0.005,0.018,0.007,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Iw,6.129e-06,0.006,0.016,0.006,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Sl,9.234e-06,0.005,0.043,0.009,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Ja,2.125e-06,0.006,0.042,0.012,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Vi,1.845e-04,0.012,0.051,0.018,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Uk,1.753e-07,0.003,0.015,0.005,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Zh,2.125e-06,0.003,0.015,0.005,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Fa,6.983e-06,1.396e-04,4.678e-04,1.703e-04,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Ur,2.628e-05,2.384e-04,4.505e-04,2.121e-04,
LANGUAGE_SENDER,twitter-actualInfluencer-1,My,2.658e-06,2.658e-06,2.658e-06,0,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Km,2.684e-06,2.684e-06,2.684e-06,0,
LANGUAGE_SENDER,twitter-actualInfluencer-1,Sr,1.236e-07,8.701e-04,0.002,8.700e-04,
LANGUAGE_SENDER,twitter-actualInfluencer-1,No Value,1.699e-06,0.001,0.020,0.004,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,En,0,0.092,1,0.087,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Und,0,0.091,0.511,0.068,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Ro,0,0.076,0.259,0.050,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,No,0.002,0.084,0.298,0.050,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Pl,0,0.104,0.351,0.069,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Cs,0.006,0.081,0.329,0.065,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Ht,4.924e-04,0.087,0.317,0.055,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Et,0,0.087,0.313,0.056,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Fr,0,0.089,0.448,0.058,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Es,0,0.087,1,0.071,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Tl,0,0.079,0.294,0.051,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Nl,0,0.090,0.298,0.054,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Tr,4.924e-04,0.076,0.329,0.049,
