"Total Degree","Frequency","TF-IDF","Action","Current Node Name","New Node Name","Current Node Class","New Node Class","Current Nodeset Name","New Nodeset Name","Current Node Type","New Node Type"
"8.0","4",,,"487840423",,"Agent",,"Agent",,"",
"576.0","272",,,"22509548",,"Agent",,"Agent",,"",
"14.0","7",,,"904539540",,"Agent",,"Agent",,"",
"1774.0","917",,,"250912539",,"Agent",,"Agent",,"",
"20.0","7",,,"2164909022",,"Agent",,"Agent",,"",
"79.0","37",,,"9508922",,"Agent",,"Agent",,"",
"58.0","21",,,"30205586",,"Agent",,"Agent",,"",
"11477.0","7872",,,"19195094",,"Agent",,"Agent",,"",
"7190.0","4961",,,"13262862",,"Agent",,"Agent",,"",
"5488.0","1950",,,"59331128",,"Agent",,"Agent",,"",
"30611.0","19961",,,"21612122",,"Agent",,"Agent",,"",
"119.0","46",,,"331211313",,"Agent",,"Agent",,"",
"1048.0","419",,,"205392468",,"Agent",,"Agent",,"",
"1096.0","720",,,"28713695",,"Agent",,"Agent",,"",
"7191.0","5558",,,"313545488",,"Agent",,"Agent",,"",
"117.0","45",,,"757303975",,"Agent",,"Agent",,"",
"1362.0","1078",,,"26596727",,"Agent",,"Agent",,"",
"6602.0","4047",,,"140286364",,"Agent",,"Agent",,"",
"432.0","176",,,"218276360",,"Agent",,"Agent",,"",
"1856.0","930",,,"19394188",,"Agent",,"Agent",,"",
"126.0","61",,,"242376736",,"Agent",,"Agent",,"",
"5.0","1",,,"17797249",,"Agent",,"Agent",,"",
"14917.0","8737",,,"104299137",,"Agent",,"Agent",,"",
"5151.0","2425",,,"23232204",,"Agent",,"Agent",,"",
"3160.0","2471",,,"169679157",,"Agent",,"Agent",,"",
"44.0","18",,,"8241232",,"Agent",,"Agent",,"",
"12.0","6",,,"45489263",,"Agent",,"Agent",,"",
"40.0","18",,,"119512652",,"Agent",,"Agent",,"",
"280.0","116",,,"24622734",,"Agent",,"Agent",,"",
"41.0","15",,,"314342661",,"Agent",,"Agent",,"",
"4.0","2",,,"18172909",,"Agent",,"Agent",,"",
"436.0","216",,,"783214",,"Agent",,"Agent",,"",
"172.0","63",,,"205965649",,"Agent",,"Agent",,"",
"83.0","25",,,"275686563",,"Agent",,"Agent",,"",
"107.0","48",,,"700784500658208768",,"Agent",,"Agent",,"",
"9629.0","2546",,,"34713362",,"Agent",,"Agent",,"",
"352.0","129",,,"5695632",,"Agent",,"Agent",,"",
"2.0","1",,,"854161552605405186",,"Agent",,"Agent",,"",
"86.0","39",,,"19426551",,"Agent",,"Agent",,"",
"2.0","1",,,"14543036",,"Agent",,"Agent",,"",
"12.0","5",,,"22843337",,"Agent",,"Agent",,"",
"4.0","2",,,"968277295",,"Agent",,"Agent",,"",
"1064.0","599",,,"902971052",,"Agent",,"Agent",,"",
"27.0","6",,,"14112296",,"Agent",,"Agent",,"",
"4.0","2",,,"396267466",,"Agent",,"Agent",,"",
