Total Degree	Frequency	TF-IDF	Action	Current Node Name	New Node Name	Current Node Class	New Node Class	Current Nodeset Name	New Nodeset Name	Current Node Type	New Node Type
23.0	7		delete	1339809884		Agent		Agent			
6.0	2		delete	807027		Agent		Agent			
1723.0	586			91386979		Agent		Agent			
229.0	57		delete	4267082849		Agent		Agent			
45.0	17		delete	14772775		Agent		Agent			
69.0	33		delete	19670226		Agent		Agent			
69.0	25		delete	822131894540083201		Agent		Agent			
696.0	314		delete	47954642		Agent		Agent			
2.0	1		delete	636358470		Agent		Agent			
2206.0	1543			123738314		Agent		Agent			
275.0	136		delete	771388593130483712		Agent		Agent			
503.0	351		delete	21305239		Agent		Agent			
1278.0	462		delete	14270650		Agent		Agent			
2393.0	1911			183667282		Agent		Agent			
36.0	15		delete	14377872		Agent		Agent			
46.0	16		delete	23457956		Agent		Agent			
2.0	1		delete	43927004		Agent		Agent			
2187.0	850			49793110		Agent		Agent			
2.0	1		delete	21374976		Agent		Agent			
8.0	4		delete	576520016		Agent		Agent			
175.0	72			450687329		Agent		Agent			
4.0	2		delete	48669581		Agent		Agent			
4.0	2		delete	355815521		Agent		Agent			
9.0	3		delete	397415540		Agent		Agent			
7.0	4			323979352		Agent		Agent			
43.0	20		delete	2317351705		Agent		Agent			
110.0	38		delete	3420477195		Agent		Agent			
20.0	8		delete	570290656		Agent		Agent			
153.0	65		delete	1074480192		Agent		Agent			
2.0	1		delete	23359769		Agent		Agent			
844.0	379		delete	15513604		Agent		Agent			
11861.0	4175		delete	9300262		Agent		Agent			
159.0	62		delete	24391041		Agent		Agent			
824.0	353		delete	14801539		Agent		Agent			
426.0	153		delete	18175442		Agent		Agent			
10005.0	5792		delete	1367531		Agent		Agent			
22.0	11		delete	451586190		Agent		Agent			
3319.0	1109		delete	564111558		Agent		Agent			
3462.0	2876			21326212		Agent		Agent			
62.0	23		delete	522526229		Agent		Agent			
2.0	1		delete	221082566		Agent		Agent			
253.0	167			170699708		Agent		Agent			
2.0	1		delete	177436265		Agent		Agent			
2544.0	2059			46713710		Agent		Agent			
199.0	91		delete	2853309155		Agent		Agent			
4389.0	2692			15483390		Agent		Agent			
1091.0	522			381664207		Agent		Agent			
223.0	98		delete	7228682		Agent		Agent			
2497.0	1942			14688489		Agent		Agent			
26.0	13		delete	308794407		Agent		Agent			
598.0	250			106135104		Agent		Agent			
59.0	29		delete	18907428		Agent		Agent			
2.0	1		delete	57054418		Agent		Agent			
381.0	230			16640598		Agent		Agent			
