"jamesgibney","17000028","Gibney, James","Bloomberg News","Editorial Writer","M","2091","930","14634","Mon Oct 27 15:11:53 +0000 2008","True","False"
"greggiroux","123738314","Giroux, Gregory","Bloomberg News","Reporter, Bloomberg Government's Congress Tracker","M","12686","3643","17116","Wed Mar 17 02:45:29 +0000 2010","True","False"
"doubletgolle","1328120858","Golle, Vince","Bloomberg News","U.S. Economics Editor ","M","473","432","654","Fri Apr 05 01:03:26 +0000 2013","False","False"
"dcraiggordon","479886158","Gordon, D. Craig","Bloomberg News","Executive Editor, Washington","M","1435","632","1414","Tue Jan 31 21:52:02 +0000 2012","False","False"
"petergosselin","393125631","Gosselin, Peter","Bloomberg News","Contributing Reporter","M","521","112","140","Tue Oct 18 02:06:18 +0000 2011","False","False"
"jesseahamilton","47767146","Hamilton, Jesse","Bloomberg News","Financial Regulation Reporter","M","1518","536","2831","Tue Jun 16 23:05:41 +0000 2009","False","False"
"houseinsession","45604374","House, Billy","Bloomberg News","Congressional Correspondent","M","6722","645","4713","Mon Jun 08 16:30:40 +0000 2009","False","False"
"bloomberghughes","180880414","Hughes, John","Bloomberg News","Editor","M","691","581","1076","Fri Aug 20 18:45:47 +0000 2010","False","False"
"alhuntdc","309883487","Hunt, Albert","Bloomberg News","Columnist, Bloomberg View","M","10953","188","512","Thu Jun 02 20:48:34 +0000 2011","True","False"
"davidjoachim","36510873","Joachim, David","Bloomberg News","Financial Crimes Editor","M","9534","2504","32777","Wed Apr 29 22:55:02 +0000 2009","True","False"
"jeffkearns","39417511","Kearns, Jeff","Bloomberg News","China Economics Editor","M","3352","3335","2822","Tue May 12 02:58:28 +0000 2009","False","False"
"elilake","34371118","Lake, Eli","Bloomberg News","Columnist, Bloomberg View","M","64045","4045","33719","Wed Apr 22 19:32:29 +0000 2009","True","False"
"scottlanman","80877566","Lanman, Scott","Bloomberg News","U.S. Economic Indicators Team Leader","M","1743","960","1703","Thu Oct 08 15:52:15 +0000 2009","True","False"
"alanlevin1","394689241","Levin, Alan","Bloomberg News","Aviation Safety Reporter","M","733","160","606","Thu Oct 20 13:38:26 +0000 2011","False","False"
"amayeda","21231946","Mayeda, Andrew","Bloomberg News","Trade & Global Economy Reporter","M","5123","1027","4563","Wed Feb 18 19:37:20 +0000 2009","True","False"
"damclaugh","921812414","McLaughlin, David","Bloomberg News","Enforcement Reporter","M","298","330","226","Fri Nov 02 21:22:00 +0000 2012","False","False"
"richmiller28","1407796441","Miller, Richard","Bloomberg News","Reporter","M","489","353","209","Mon May 06 13:44:41 +0000 2013","False","False"
"jmorganbalt","2646231830","Morgan, Jon","Bloomberg News","Reporter","M","131","147","357","Mon Jul 14 19:36:35 +0000 2014","True","False"
"moss_eco","612071247","Moss, Daniel","Bloomberg News","Executive editor, Global Economics","M","2126","1874","768","Mon Jun 18 20:55:44 +0000 2012","False","False"
"gwmott","15687922","Mott, Gregory","Bloomberg News","Financial Regulation Editor","M","548","479","2309","Fri Aug 01 11:19:33 +0000 2008","True","False"
"b_muzz","399225358","Murray, Brendan","Bloomberg News","Managing Editor, U.S. Economy ","M","618","378","352","Thu Oct 27 05:34:05 +0000 2011","True","False"
"toluseo","168290603","Olorunnipa, Toluse","Bloomberg News","White House Reporter","M","6307","1006","8202","Sun Jul 18 23:26:05 +0000 2010","True","False"
"michaelrileydc","59804000","Riley, Michael","Bloomberg News","Reporter","M","1337","304","194","Fri Jul 24 15:05:33 +0000 2009","False","False"
"jordanr1000","467022771","Robertson, Jordan","Bloomberg News","Cybersecurity Reporter","M","3688","814","1445","Wed Jan 18 01:38:57 +0000 2012","False","False"
"jarowley","15781389","Rowley, James","Bloomberg News","Congressional Reporter","M","484","745","757","Fri Aug 08 18:47:51 +0000 2008","False","False"
"richardrubindc","227790723","Rubin, Richard","Bloomberg News","Tax Policy Reporter","M","12137","471","16778","Fri Dec 17 20:38:28 +0000 2010","True","False"
"tschoenberg22","124359395","Schoenberg, Tom","Bloomberg News","Reporter","M","278","62","302","Fri Mar 19 04:20:11 +0000 2010","False","False"
"tshields3","27962143","Shields, Todd","Bloomberg News","Washington Reporter","M","765","314","174","Tue Mar 31 21:00:51 +0000 2009","False","False"
"justinsink","346197350","Sink, Justin","Bloomberg News","White House Correspondent","M","12078","1203","13776","Sun Jul 31 21:58:33 +0000 2011","True","False"
"joenewsguy","57754211","Sobczyk, Joseph","Bloomberg News","Senior Editor","M","712","1383","2659","Fri Jul 17 20:53:13 +0000 2009","True","False"
