"loren_duggan","780221130","Duggan, Loren","Bloomberg Government","Head of Govt Affairs Content","M","White","585","872","910","Sat Aug 25 12:32:20 +0000 2012","False","False"
"sshoptaw","26021583","Kussin-Shoptaw, Samuel","Bloomberg Government","Government Affairs Data Team Lead","M","White","618","1388","5675","Mon Mar 23 15:28:29 +0000 2009","True","False"
"willmatthews","12276442","Matthews, William","Bloomberg Government","Head of Data","M","White","211","164","2349","Tue Jan 15 15:25:56 +0000 2008","False","False"
"grolar_bear","128950185","Meteer, Robert","Bloomberg Government","Quantitative Analyst","M","White","110","87","173","Fri Apr 02 18:17:10 +0000 2010","False","False"
"schank_a","2193026041","Schank, Adam","Bloomberg Government","Legislative Analyst","M","White","190","444","561","Wed Nov 13 22:13:29 +0000 2013","False","False"
"laurieasseo","235307346","Asseo, Laurie","Bloomberg News","Editor, Congress & Supreme Court","F","Unsure","123","107","661","Fri Jan 07 21:30:05 +0000 2011","False","False"
"shochandra","2321099287","Chandra, Shobhana","Bloomberg News","Reporter","F","Asian","561","224","544","Fri Jan 31 17:03:54 +0000 2014","False","False"
"edexheimer","21124351","Dexheimer, Elizabeth","Bloomberg News","Congress & Financial Regulation Reporter","F","White","1195","542","472","Tue Feb 17 20:05:46 +0000 2009","True","False"
"annaedney","57124794","Edney, Anna","Bloomberg News","Health Reporter","F","White","4922","626","2718","Wed Jul 15 20:19:26 +0000 2009","True","False"
"jeneps","45399148","Epstein, Jennifer","Bloomberg News","Political Reporter ","F","White","55857","1494","39140","Sun Jun 07 19:02:54 +0000 2009","True","False"
"cheyhopkins","121469977","Hopkins, Cheyenne","Bloomberg News","Financial Services Congressional Reporter","F","White","2892","2460","1184","Tue Mar 09 16:04:12 +0000 2010","False","False"
"mljamrisko","21662510","Jamrisko, Michelle","Bloomberg News","U.S. Economy Reporter","F","White","2118","1067","3548","Mon Feb 23 15:54:00 +0000 2009","True","False"
"kklimasinska","488756792","Klimasinska, Katarzyna","Bloomberg News","Economy Reporter","F","White","812","404","778","Fri Feb 10 20:18:19 +0000 2012","True","False"
"lauralitvan","313545488","Litvan, Laura","Bloomberg News","Congressional & Political Reporter","F","White","2910","1300","3299","Wed Jun 08 20:35:36 +0000 2011","True","False"
"rmeszoly","143154318","Meszoly, Robin","Bloomberg News","Congress Tracker/DC First Word Editor","F","White","562","539","456","Wed May 12 18:53:06 +0000 2010","False","False"
"kathleenemiller","86752237","Miller, Kathleen","Bloomberg News","Congress Reporter","F","White","333","294","201","Sun Nov 01 16:31:13 +0000 2009","False","False"
"elissanadworny","24716521","Nadworny, Elissa","Bloomberg News","Weekend White House Reporter","F","White","1848","693","2094","Mon Mar 16 16:11:33 +0000 2009","True","False"
"caschaberg","1565684575","Schaberg, Caroline","Bloomberg News","Social Velocity","F","White","2928","3318","2069","Wed Jul 03 12:31:01 +0000 2013","True","False"
"jeannasmialek","258157507","Smialek, Jeanna","Bloomberg News","Economy Reporter","F","White","4154","1044","4240","Sun Feb 27 02:50:02 +0000 2011","True","False"
"toristilwell","35373988","Stilwell, Victoria","Bloomberg News","","F","Unsure","3207","652","4988","Sun Apr 26 02:09:28 +0000 2009","True","False"
"margarettalev","58869089","Talev, Margaret","Bloomberg News","Senior White House Reporter","F","White","16217","4310","4011","Tue Jul 21 18:06:26 +0000 2009","True","False"
